,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features,cluster
490,55,0.731,0.622,11.0,-7.704,1.0,0.0823,0.0662,0.000153,0.0558,0.501,103.949,4.0,"[55.0,0.731,0.622,11.0,-7.704,1.0,0.0823,0.0662,0.000153,0.0558,0.501,103.949,4.0]",2
491,65,0.835,0.527,7.0,-7.272,0.0,0.128,0.204,0.000423,0.283,0.611,106.003,4.0,"[65.0,0.835,0.527,7.0,-7.272,0.0,0.128,0.204,0.000423,0.283,0.611,106.003,4.0]",2
492,67,0.568,0.42,7.0,-11.169,0.0,0.276,0.536,0.124,0.101,0.453,79.89,4.0,"[67.0,0.568,0.42,7.0,-11.169,0.0,0.276,0.536,0.124,0.101,0.453,79.89,4.0]",2
493,42,0.635,0.912,4.0,-6.881,0.0,0.0686,0.00443,0.801,0.299,0.0369,127.008,4.0,"[42.0,0.635,0.912,4.0,-6.881,0.0,0.0686,0.00443,0.801,0.299,0.0369,127.008,4.0]",2
494,18,0.796,0.619,7.0,-12.433,1.0,0.084,0.0584,0.931,0.0852,0.0746,121.985,4.0,"[18.0,0.796,0.619,7.0,-12.433,1.0,0.084,0.0584,0.931,0.0852,0.0746,121.985,4.0]",0
495,65,0.757,0.544,5.0,-10.722,1.0,0.219,0.154,6.07e-05,0.226,0.921,173.208,4.0,"[65.0,0.757,0.544,5.0,-10.722,1.0,0.219,0.154,6.07e-05,0.226,0.921,173.208,4.0]",2
496,28,0.734,0.674,2.0,-10.168,1.0,0.151,0.201,0.0026,0.0842,0.412,121.986,4.0,"[28.0,0.734,0.674,2.0,-10.168,1.0,0.151,0.201,0.0026,0.0842,0.412,121.986,4.0]",0
497,50,0.826,0.406,0.0,-14.153,0.0,0.0317,0.00719,0.731,0.0725,0.939,100.278,4.0,"[50.0,0.826,0.406,0.0,-14.153,0.0,0.0317,0.00719,0.731,0.0725,0.939,100.278,4.0]",2
498,42,0.767,0.783,0.0,-10.406,1.0,0.0368,0.0477,5.97e-06,0.0709,0.891,120.611,4.0,"[42.0,0.767,0.783,0.0,-10.406,1.0,0.0368,0.0477,5.97e-06,0.0709,0.891,120.611,4.0]",2
499,44,0.817,0.724,11.0,-9.003,0.0,0.0769,0.0654,1.53e-06,0.129,0.962,114.72,4.0,"[44.0,0.817,0.724,11.0,-9.003,0.0,0.0769,0.0654,1.53e-06,0.129,0.962,114.72,4.0]",2
500,72,0.729,0.72,3.0,-6.692,1.0,0.037,0.126,0.347,0.178,0.0389,122.011,4.0,"[72.0,0.729,0.72,3.0,-6.692,1.0,0.037,0.126,0.347,0.178,0.0389,122.011,4.0]",2
